Subsystem,Mass (t)
Propellant,2398.868721370741
Propellant tanks/casing,65.63556276825321
Propellant tank insulation,7.454166661987056
Engines,39.43162726966828
Thrust structure,7.803261208065821
Gimbals,0.4642371134645106
Avionics,2.08449946779889
Wiring,5.470619606165204
Payload fairing,2.5572820999627397
Inter-tank fairing,1.9301601791667349
Inter-stage fairing,37.44776281989207
Aft fairing,1.5385452847330674
Stage 1 Total,2386.9293846645455
Stage 2 Total,183.75706118535322
Total Mass,2570.6864458498985
"Total Cost ($B, 2025)",14.628007450908433
